POBP,State,SERI
0,,
1,Alabama,1.6
2,Alaska,2.2
3,,
4,Arizona,1.91
5,Arkansas,2.14
6,California,2.38
7,,
8,Colorado,3.03
9,Connecticut,3.28
10,Delaware,2.6
11,District of Columbia,
12,Florida,3.13
13,Georgia,2.88
14,,
15,Hawaii,2.29
16,Idaho,2.47
17,Illinois,3.08
18,Indiana,3.28
19,Iowa,2.25
20,Kansas,3
21,Kentucky,3
22,Louisiana,1.59
23,Maine,3.24
24,Maryland,3.57
25,Massachusetts,4.82
26,Michigan,2.6
27,Minnesota,4.06
28,Mississippi,1.11
29,Missouri,2.39
30,Montana,2.53
31,Nebraska,1.97
32,Nevada,1.93
33,New Hampshire,4.01
34,New Jersey,4.04
35,New Mexico,1.72
36,New York,3.94
37,North Carolina,2.34
38,North Dakota,2.4
39,Ohio,2.64
40,Oklahoma,2.01
41,Oregon,2.58
42,Pennsylvania,2.8
43,,
44,Rhode Island,2.38
45,South Carolina,2.2
46,South Dakota,3.08
47,Tennessee,2.67
48,Texas,2.45
49,Utah,2.85
50,Vermont,2.93
51,Virginia,3.73
52,,
53,Washington,2.86
54,West Virginia,1.58
55,Wisconsin,3.06
56,Wyoming,2.58
